NETWORK	STATION	LAT	LON	ELEVATION
IU	ADK	+51.882300	-176.684200	130.0
IU	AFI	-13.909300	-171.777300	706.0
IU	ANMO	+34.945910	-106.457200	1820.0
IU	ANTO	+39.868000	+032.793400	1090.0
IU	BBSR	+32.371299	-064.696299	30.0
IU	BILL	+68.065300	+166.453100	320.0
IU	CASY	-66.279200	+110.535400	10.0
IU	CCM	+38.055700	-091.244600	222.0
IU	CHTO	+18.814100	+098.944300	420.0
IU	COLA	+64.873599	-147.861600	200.0
IU	COR	+44.585500	-123.304600	110.0
IU	CTAO	-20.088200	+146.254500	357.0
IU	DAV	+07.069700	+125.579100	151.0
IU	DWPF	+28.110300	-081.432700	30.0
IU	FUNA	-08.525900	+179.196600	20.0
IU	FURI	+08.895200	+038.679800	2570.0
IU	GNI	+40.148000	+044.741000	1609.0
IU	GRFO	+49.690900	+011.220300	384.0
IU	GUMO	+13.589300	+144.868400	170.0
IU	HKT	+29.964780	-095.838120	69.0
IU	HNR	-09.438700	+159.947500	100.0
IU	HRV	+42.506400	-071.558300	200.0
IU	INCN	+37.477680	+126.624360	55.0
IU	JOHN	+16.732900	-169.529200	2.0
IU	KBL	+34.540800	+069.043200	1920.0
IU	KBS	+78.915400	+011.938500	90.0
IU	KEV	+69.756500	+027.003500	100.0
IU	KIEV	+50.701200	+029.224200	180.0
IU	KIP	+21.420000	-158.011200	110.0
IU	KMBO	-01.127100	+037.252500	1950.0
IU	KNTN	-02.774400	-171.718600	20.0
IU	KONO	+59.649100	+009.598200	216.0
IU	KOWA	+14.496700	-004.014000	321.0
IU	LCO	-29.011000	-070.700500	2274.0
IU	LSZ	-15.277900	+028.188200	1200.0
IU	LVC	-22.612700	-068.911100	2960.0
IU	MA2	+59.575600	+150.770000	337.0
IU	MACI	+28.250200	-016.508199	1674.0
IU	MAJO	+36.545670	+138.204060	405.0
IU	MAKZ	+46.808000	+081.977000	600.0
IU	MBWA	-21.159000	+119.731300	190.0
IU	MIDW	+28.215600	-177.369800	20.0
IU	NWAO	-32.927700	+117.239000	380.0
IU	OTAV	+00.237600	-078.450800	3510.0
IU	PAB	+39.544600	-004.349900	950.0
IU	PAYG	-00.674200	-090.286100	270.0
IU	PET	+53.023300	+158.649900	110.0
IU	PMG	-09.404700	+147.159700	90.0
IU	PMSA	-64.774400	-064.048900	40.0
IU	POHA	+19.757300	-155.532600	1990.0
IU	PTCN	-25.071300	-130.095300	220.0
IU	PTGA	-00.730800	-059.966600	237.0
IU	QSPA	-89.928900	+144.438200	2850.0
IU	RAO	-29.245000	-177.929000	60.0
IU	RAR	-21.212500	-159.773300	28.0
IU	RCBR	-05.827400	-035.901400	400.0
IU	RSSD	+44.121200	-104.035900	2090.0
IU	SAML	-08.948900	-063.183100	120.0
IU	SBA	-77.849200	+166.757200	50.0
IU	SDV	+08.883900	-070.634000	1620.0
IU	SFJD	+66.996100	-050.620760	330.0
IU	SJG	+18.109100	-066.150000	420.0
IU	SLBS	+23.685800	-109.944300	825.0
IU	SNZO	-41.308700	+174.704300	120.0
IU	SSPA	+40.635800	-077.887600	270.0
IU	TARA	+01.354900	+172.922900	20.0
IU	TATO	+24.973500	+121.497100	160.0
IU	TEIG	+20.226300	-088.276300	40.0
IU	TIXI	+71.634100	+128.866700	40.0
IU	TRIS	-37.068100	-012.315200	60.0
IU	TRQA	-38.056800	-061.978700	540.0
IU	TSUM	-19.202200	+017.583800	1260.0
IU	TUC	+32.309800	-110.784700	910.0
IU	ULN	+47.865100	+107.053200	1610.0
IU	WAKE	+19.283400	+166.652000	20.0
IU	WCI	+38.228900	-086.293900	210.0
IU	WVT	+36.129700	-087.830000	170.0
IU	XMAS	+02.044800	-157.445700	20.0
IU	YAK	+62.031000	+129.680500	110.0
IU	YSS	+46.958700	+142.760400	150.0
NETWORK	STATION	LAT	LON	ELEVATION
II	AAK	+42.637500	+074.494200	1633.1
II	ABPO	-19.018000	+047.229000	1528.0
II	ALE	+82.503300	-062.350000	60.0
II	ARTI	+56.387900	+058.384900	320.0
II	ASCN	-07.932700	-014.360100	173.0
II	BFO	+48.330100	+008.329600	589.0
II	BORG	+64.747400	-021.326800	110.0
II	BRVK	+53.058100	+070.282800	330.0
II	CMLA	+37.763700	-025.524300	429.0
II	COCO	-12.190100	+096.834900	1.0
II	DGAR	-07.412100	+072.452500	1.0
II	EFI	-51.675300	-058.063700	110.0
II	ERM	+42.015000	+143.157200	40.0
II	ESK	+55.316700	-003.205000	242.0
II	FFC	+54.725000	-101.978300	338.0
II	HOPE	-54.283600	-036.487900	20.0
II	IASL	+34.946200	-106.456700	1740.0
II	IBFO	+48.331900	+008.331100	589.0
II	JTS	+10.290800	-084.952500	340.0
II	KAPI	-05.014200	+119.751700	300.0
II	KDAK	+57.782800	-152.583500	152.0
II	KIV	+43.955300	+042.686300	1054.0
II	KURK	+50.715400	+078.620200	184.0
II	KWJN	+09.287300	+167.536900	0.0
II	LVZ	+67.897900	+034.651400	630.0
II	MBAR	-00.601900	+030.738200	1390.0
II	MSEY	-04.673700	+055.479200	475.0
II	MSVF	-17.744800	+178.052800	801.1
II	NIL	+33.650600	+073.268600	629.0
II	NNA	-11.987500	-076.842200	575.0
II	OBN	+55.114600	+036.567400	160.0
II	PALK	+07.272800	+080.702200	460.0
II	PFO	+33.610700	-116.455500	1280.0
II	RAYN	+23.522500	+045.503200	631.0
II	RPN	-27.126700	-109.334400	110.0
II	SACV	+14.970200	-023.608500	387.0
II	SHEL	-15.959400	-005.745500	537.0
II	SIMI	+38.658500	+069.008300	1400.5
II	SUR	-32.379700	+020.811700	1770.0
II	TAU	-42.909900	+147.320400	132.0
II	TLY	+51.680700	+103.643800	579.0
II	UOSS	+24.945300	+056.204200	284.4
II	WRAB	-19.933600	+134.360000	366.0
II	XPFO	+33.610700	-116.455500	1280.0
NETWORK	STATION	LAT	LON	ELEVATION
IC	BJT	+40.018300	+116.167900	197.0
IC	ENH	+30.276200	+109.494400	500.0
IC	HIA	+49.270400	+119.741400	620.0
IC	KMI	+25.123300	+102.740000	1975.0
IC	LSA	+29.703100	+091.127000	3660.0
