NETWORK	STATION	LAT	LON	
IU	ADK	+51.882300	-176.684200	
IU	AFI	-13.909300	-171.777300	
IU	ANMO	+34.945910	-106.457200	
IU	ANTO	+39.868000	+032.793400	
IU	BBSR	+32.371299	-064.696299	
IU	BILL	+68.065300	+166.453100	
IU	CASY	-66.279200	+110.535400	
IU	CCM	+38.055700	-091.244600	
IU	CHTO	+18.814100	+098.944300	
IU	COLA	+64.873599	-147.861600	
IU	COR	+44.585500	-123.304600	
IU	CTAO	-20.088200	+146.254500	
IU	DAV	+07.069700	+125.579100	
IU	DWPF	+28.110300	-081.432700	
IU	FUNA	-08.525900	+179.196600	
IU	FURI	+08.895200	+038.679800	
IU	GNI	+40.148000	+044.741000	
IU	GRFO	+49.690900	+011.220300	
IU	GUMO	+13.589300	+144.868400	
IU	HKT	+29.964780	-095.838120	
IU	HNR	-09.438700	+159.947500	
IU	HRV	+42.506400	-071.558300	
IU	INCN	+37.477680	+126.624360	
IU	JOHN	+16.732900	-169.529200	
IU	KBL	+34.540800	+069.043200	
IU	KBS	+78.915400	+011.938500	
IU	KEV	+69.756500	+027.003500	
IU	KIEV	+50.701200	+029.224200	
IU	KIP	+21.420000	-158.011200	
IU	KMBO	-01.127100	+037.252500	
IU	KNTN	-02.774400	-171.718600	
IU	KONO	+59.649100	+009.598200	
IU	KOWA	+14.496700	-004.014000	
IU	LCO	-29.011000	-070.700500	
IU	LSZ	-15.277900	+028.188200	
IU	LVC	-22.612700	-068.911100	
IU	MA2	+59.575600	+150.770000	
IU	MACI	+28.250200	-016.508199	
IU	MAJO	+36.545670	+138.204060	
IU	MAKZ	+46.808000	+081.977000	
IU	MBWA	-21.159000	+119.731300	
IU	MIDW	+28.215600	-177.369800	
IU	NWAO	-32.927700	+117.239000	
IU	OTAV	+00.237600	-078.450800	
IU	PAB	+39.544600	-004.349900	
IU	PAYG	-00.674200	-090.286100	
IU	PET	+53.023300	+158.649900	
IU	PMG	-09.404700	+147.159700	
IU	PMSA	-64.774400	-064.048900	
IU	POHA	+19.757300	-155.532600	
IU	PTCN	-25.071300	-130.095300	
IU	PTGA	-00.730800	-059.966600	
IU	QSPA	-89.928900	+144.438200	
IU	RAO	-29.245000	-177.929000	
IU	RAR	-21.212500	-159.773300	
IU	RCBR	-05.827400	-035.901400	
IU	RSSD	+44.121200	-104.035900	
IU	SAML	-08.948900	-063.183100	
IU	SBA	-77.849200	+166.757200	
IU	SDV	+08.883900	-070.634000	
IU	SFJD	+66.996100	-050.620760	
IU	SJG	+18.109100	-066.150000	
IU	SLBS	+23.685800	-109.944300	
IU	SNZO	-41.308700	+174.704300	
IU	SSPA	+40.635800	-077.887600	
IU	TARA	+01.354900	+172.922900	
IU	TATO	+24.973500	+121.497100	
IU	TEIG	+20.226300	-088.276300	
IU	TIXI	+71.634100	+128.866700	
IU	TRIS	-37.068100	-012.315200	
IU	TRQA	-38.056800	-061.978700	
IU	TSUM	-19.202200	+017.583800	
IU	TUC	+32.309800	-110.784700	
IU	ULN	+47.865100	+107.053200	
IU	WAKE	+19.283400	+166.652000	
IU	WCI	+38.228900	-086.293900	
IU	WVT	+36.129700	-087.830000	
IU	XMAS	+02.044800	-157.445700	
IU	YAK	+62.031000	+129.680500	
IU	YSS	+46.958700	+142.760400	
NETWORK	STATION	LAT	LON	
II	AAK	+42.637500	+074.494200	
II	ABPO	-19.018000	+047.229000	
II	ALE	+82.503300	-062.350000	
II	ARTI	+56.387900	+058.384900	
II	ASCN	-07.932700	-014.360100	
II	BFO	+48.330100	+008.329600	
II	BORG	+64.747400	-021.326800	
II	BRVK	+53.058100	+070.282800	
II	CMLA	+37.763700	-025.524300	
II	COCO	-12.190100	+096.834900	
II	DGAR	-07.412100	+072.452500	
II	EFI	-51.675300	-058.063700	
II	ERM	+42.015000	+143.157200	
II	ESK	+55.316700	-003.205000	
II	FFC	+54.725000	-101.978300	
II	HOPE	-54.283600	-036.487900	
II	IASL	+34.946200	-106.456700	
II	IBFO	+48.331900	+008.331100	
II	JTS	+10.290800	-084.952500	
II	KAPI	-05.014200	+119.751700	
II	KDAK	+57.782800	-152.583500	
II	KIV	+43.955300	+042.686300	
II	KURK	+50.715400	+078.620200	
II	KWJN	+09.287300	+167.536900	
II	LVZ	+67.897900	+034.651400	
II	MBAR	-00.601900	+030.738200	
II	MSEY	-04.673700	+055.479200	
II	MSVF	-17.744800	+178.052800	
II	NIL	+33.650600	+073.268600	
II	NNA	-11.987500	-076.842200	
II	OBN	+55.114600	+036.567400	
II	PALK	+07.272800	+080.702200	
II	PFO	+33.610700	-116.455500	
II	RAYN	+23.522500	+045.503200	
II	RPN	-27.126700	-109.334400	
II	SACV	+14.970200	-023.608500	
II	SHEL	-15.959400	-005.745500	
II	SIMI	+38.658500	+069.008300	
II	SUR	-32.379700	+020.811700	
II	TAU	-42.909900	+147.320400	
II	TLY	+51.680700	+103.643800	
II	UOSS	+24.945300	+056.204200	
II	WRAB	-19.933600	+134.360000	
II	XPFO	+33.610700	-116.455500	
NETWORK	STATION	LAT	LON	
IC	BJT	+40.018300	+116.167900	
IC	ENH	+30.276200	+109.494400	
IC	HIA	+49.270400	+119.741400	
IC	KMI	+25.123300	+102.740000	
IC	LSA	+29.703100	+091.127000	
IC	MDJ	+44.617630	+129.593410	
IC	QIZ	+19.029100	+109.844500	
IC	SSE	+31.094800	+121.190800	
IC	WMQ	+43.813800	+087.704900	
IC	XAN	+34.031300	+108.923700	
